IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
TB_e_inc_num,Number of incident tuberculosis cases,numeric,SEAR,South-East Asia,Country,IND,India,Year,2021,true,,,,,,,,,,,,,2950000,,,2510000,,3440000,2 950 000 [2 510 000 – 3 440 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,AFR,Africa,Country,COG,Congo,Year,2021,true,,,,,,,,,,,,,22000,,,13000,,32000,22 000 [13 000 – 32 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2021,true,,,,,,,,,,,,,305000,,,197000,,436000,305 000 [197 000 – 436 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,,,,,,,,,,,,,375000,,,273000,,493000,375 000 [273 000 – 493 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,,,,,,,,,,,,,467000,,,305000,,664000,467 000 [305 000 – 664 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2021,true,,,,,,,,,,,,,611000,,,445000,,803000,611 000 [445 000 – 803 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,,,,,,,,,,,,,741000,,,401000,,1180000,741 000 [401 000 – 1 180 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,WPR,Western Pacific,Country,CHN,China,Year,2021,true,,,,,,,,,,,,,780000,,,665000,,905000,780 000 [665 000 – 905 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,AMR,Americas,Country,USA,United States of America,Year,2021,true,,,,,,,,,,,,,8700,,,7400,,10000,8700 [7400 – 10 000],,,EN,2022-10-11T05:00:00.000Z
TB_e_inc_num,Number of incident tuberculosis cases,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,969000,,,872000,,1070000,969 000 [872 000 – 1 070 000],,,EN,2022-10-11T05:00:00.000Z
